file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,317,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,27
style.css,318,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,16
style.css,319,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,19
style.css,320,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,321,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,322,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,27
style.css,323,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,21
style.css,324,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,15
style.css,325,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,326,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,327,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,328,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,23
style.css,329,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,73
style.css,330,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,22
style.css,331,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,23
style.css,332,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,333,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,334,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,29
style.css,335,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,21
style.css,336,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,337,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,338,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,51
style.css,339,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,11
style.css,340,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,341,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,342,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,32
